CEFEO;;;;;0;;
Alderamín;a Cef;21;18;34,58;62;35;7,6
Alfirk;b Cef;21;28;39,58;70;33;38,5
Errai;g Cef;23;39;20,98;77;37;55,1
;i Cef;22;49;40,91;66;12;2,6
;z Cef;22;10;51,26;58;12;4,5
PERSEO;;;;;0;;
;e Per;2;50;41,79;55;53;43,9
;g Per;3;4;47,79;53;30;23,2
Mirfak;a Per;3;24;19,35;49;51;40,5
Algol;b Per;3;8;10,13;40;57;20,3
;r Per;3;5;10,5;38;50;25,9
;d Per;3;42;55,48;47;47;15,6
;é Per;3;57;51,22;40;0;37
Menkib;x Per;3;58;57,9;35;47;27,7
;z Per;3;54;7,92;31;53;1,2
Atik;o Per;3;44;19,13;32;17;17,8
CASSIOPEA;;;;;;;
Caph;b Cas;0;9;10,09;59;9;0,8
Shedir;a Cas;0;40;30,39;56;32;14,7
;g Cas;0;56;42,5;60;43;0,3
Ksora;d Cas;1;25;48,6;60;14;7,5
;é Cas;1;54;23,68;63;40;12,5
ANDRÓMEDA;;;;;0;;
Alpheratz;a And;0;8;23,17;29;5;27
;d And;0;39;19,6;30;51;40,4
Mirach;b And;1;9;43,8;35;37;15
;m And;0;56;45,1;38;29;57,3
;n And;0;49;48,83;41;4;44,2
Alamak;g And;2;3;53,92;42;19;47,5
PEGASO;;;;;0;;
Enif;é Peg;21;44;11,14;9;52;30
Biham;th Peg;22;10;11,82;6;11;52
Homan;z Peg;22;41;27,67;10;49;53
;x Peg;22;46;41,44;12;10;26,7
Markab;a Peg;23;4;45,62;15;12;19,3
Algenib;g Peg;0;13;14,15;15;11;1
Alpheratz;a And;0;8;23,17;29;5;27
Funda;b Peg;23;3;46,33;28;4;56,8
Matar;e Peg;22;43;0,13;30;13;16,7
;p Peg;22;9;59,25;33;10;41,8
Sadalbari;m Peg;22;50;0,1;24;36;6,1
;l Peg;22;46;31,84;23;33;56,4
;i Peg;22;7;0,47;25;20;42,2
;k Peg;21;44;38,7;25;38;42