CEFEO;
a Cef;b Cef
a Cef;z Cef
b Cef;i Cef
b Cef;g Cef
g Cef;i Cef
i Cef;z Cef
PERSEO;
e Per;g Per
g Per;a Per
a Per;b Per
a Per;d Per
b Per;r Per
d Per;é Per
é Per;x Per
x Per;z Per
z Per;o Per
CASSIOPEA;
b Cas;a Cas
a Cas;g Cas
g Cas;d Cas
d Cas;é Cas
ANDRÓMEDA;
a And;d And
d And;b And
b And;g And
b And;m And
m And;n And
PEGASO;
e Peg;th Peg
th Peg;z Peg
z Peg;x Peg
x Peg;a Peg
a Peg;g Peg
a Peg;b Peg
g Peg;a Peg
a And;a Peg
a And;b Peg
b Peg;e Peg
b Peg;m Peg
e Peg;p Peg
m Peg;l Peg
l Peg;i Peg
i Peg;k Peg