SCORPIO;
a Sco;b Sco
a Sco;d Sco
a Sco;p Sco
a Sco;t Sco
t Sco;Ž Sco
Ž Sco;m Sco
m Sco;e Sco
e Sco;th Sco
th Sco;l Sco
Sagitario;
z Sgr;l Sgr
z Sgr;s Sgr
z Sgr;d Sgr
z Sgr;Ž Sgr
Ž Sgr;d Sgr
Ž Sgr;g Sgr
d Sgr;l Sgr
d Sgr;g Sgr
AGUILA;
b Aql;a Aql
a Aql;g Aql
a Aql;d Aql
d Aql;e Aql
d Aql;l Aql
d Aql;z Aql
e Aql;th Aql
z Aql;é Aql
CISNE;
a Cyg;g Cyg
g Cyg;d Cyg
g Cyg;é Cyg
g Cyg;e Cyg
d Cyg;i Cyg
i Cyg;k Cyg
e Cyg;z Cyg
z Cyg;m Cyg
e Cyg;b Cyg
LIRA;
a Lyr;z Lyr
z Lyr;b Lyr
z Lyr;d Lyr
b Lyr;g Lyr
g Lyr;d Lyr
CASSIOPEA;
b Cas;a Cas
a Cas;g Cas
g Cas;d Cas
d Cas;é Cas
PERSEO;
e Per;g Per
g Per;a Per
a Per;b Per
a Per;d Per
b Per;r Per
d Per;é Per
é Per;x Per
x Per;z Per
z Per;o Per