CASSIOPEA;
b Cas;a Cas
a Cas;g Cas
g Cas;d Cas
d Cas;é Cas
ANDRÓMEDA;
a And;d And
d And;b And
b And;g And
b And;m And
m And;n And
PEGASO;
e Peg;th Peg
th Peg;z Peg
z Peg;x Peg
x Peg;a Peg
a Peg;g Peg
a Peg;b Peg
g Peg;a Peg
a And;a Peg
a And;b Peg
b Peg;e Peg
b Peg;m Peg
e Peg;p Peg
m Peg;l Peg
l Peg;i Peg
i Peg;k Peg
CEFEO;
a Cef;b Cef
a Cef;z Cef
b Cef;i Cef
b Cef;g Cef
g Cef;i Cef
i Cef;z Cef
PERSEO;
e Per;g Per
g Per;a Per
a Per;b Per
a Per;d Per
b Per;r Per
d Per;é Per
é Per;x Per
x Per;z Per
z Per;o Per
CISNE;
a Cyg;g Cyg
g Cyg;d Cyg
g Cyg;é Cyg
g Cyg;e Cyg
d Cyg;i Cyg
i Cyg;k Cyg
e Cyg;z Cyg
z Cyg;m Cyg
e Cyg;b Cyg
LIRA;
a Lyr;z Lyr
z Lyr;b Lyr
z Lyr;d Lyr
b Lyr;g Lyr
g Lyr;d Lyr
AGUILA;
b Aql;a Aql
a Aql;g Aql
a Aql;d Aql
d Aql;e Aql
d Aql;l Aql
d Aql;z Aql
e Aql;th Aql
z Aql;é Aql
ORION;
a Ori;l Ori
a Ori;m Ori
l Ori;g Ori
g Ori;d Ori
g Ori;p3 Ori
p3 Ori;p2 Ori
p3 Ori;p4 Ori
p2 Ori;p1 Ori
p5 Ori;p5 Ori
p5 Ori;p6 Ori
m Ori;n Ori
m Ori;x Ori
x Ori;j2 Ori
n Ori;j1 Ori
z Ori;a Ori
é Ori;z Ori
d Ori;é Ori
d Ori;b Ori
k Ori;b Ori
k Ori;z Ori
CAN MENOR;
a CMi;b CMi
CAN MAYOR;
th CMa;g CMa
g CMa;i CMa
i CMa;a CMa
a CMa;n CMa
n CMa;b CMa
n CMa;é CMa
é CMa;d CMa
é CMa;k CMa
d CMa;e CMa
d CMa;a CMa
d CMa;z CMa
LIEBRE;
th Lep;e Lep
e Lep;a Lep
a Lep;d Lep
d Lep;g Lep
g Lep;b Lep
b Lep;a Lep
b Lep;é Lep
é Lep;m Lep
m Lep;a Lep
m Lep;l Lep
m Lep;k Lep
OSA MAYOR;
a Uma;z Uma
z Uma;é Uma
é Uma;d Uma
d Uma;a Uma
d Uma;g Uma
g Uma;b Uma
b Uma;a Uma
OSA MENOR;
a Umi;d Umi
d Umi;é Umi
é Umi;z Umi
z Umi;b Umi
z Umi;e Umi
b Umi;g Umi
g Umi;e Umi
DRAGÓN;
l Dra;k Dra
k Dra;a Dra
a Dra;i Dra
i Dra;th Dra
th Dra;e Dra
e Dra;z Dra
z Dra;j Dra
j Dra;é Dra
é Dra;d Dra
d Dra;x Dra
x Dra;g Dra
x Dra;n Dra
g Dra;b Dra
b Dra;n Dra
CORONA BOREAL;
i CrB;é CrB
é CrB;d CrB
d CrB;g CrB
g CrB;a CrB
a CrB;b CrB
b CrB;th CrB
HERCULES;
o Her;x Her
x Her;m Her
m Her;l Her
l Her;d Her
l Her;é Her
é Her;p Her
é Her;z Her
z Her;b Her
z Her;e Her
b Her;g Her
e Her;p Her
e Her;s Her
p Her;th Her
th Her;i Her
s Her;t Her
t Her;f Her
f Her;j Her